timestamp,session_id,event,detail,version,answered_count,completed,time_spent
17:36.8,81d9553db7534dfa14019c31b43333ab,quiz_submitted,submit_clicked,B,20,TRUE,28
20:05.2,281fb32c45afcfc5a6999a8a920b1900,quiz_submitted,submit_clicked,B,20,TRUE,23
28:32.1,835a6c603d6816e41a8d05f05281e606,quiz_submitted,submit_clicked,B,20,TRUE,26
29:14.5,667e58661d20435ff497800993e114d1,quiz_submitted,submit_clicked,B,1,FALSE,11
30:15.1,41fb9631e0c2be9e8c0c18df21e52d38,quiz_submitted,submit_clicked,A,0,FALSE,5
32:12.0,78ff636b599263c3dbc14dbbb9a9d0b2,quiz_submitted,submit_clicked,A,4,FALSE,45
35:25.8,ee798494059a8af8ffd5302701aa5209,quiz_submitted,submit_clicked,A,20,TRUE,47
45:40.8,f6a21a20e0e7b8df860d17517b8b3cb7,quiz_submitted,submit_clicked,B,20,TRUE,92
10:04.2,18d3bea7f2f02d7a874eaaf9e2bc5d10,quiz_submitted,submit_clicked,A,20,TRUE,39
10:10.6,bc69a778c210c3c5bc63b0a78cea85ff,quiz_submitted,submit_clicked,B,20,TRUE,31
09:22.7,0175a7c1d3141b3a978bd9b66a99311e,quiz_submitted,submit_clicked,B,20,TRUE,88
09:28.4,0175a7c1d3141b3a978bd9b66a99311e,quiz_submitted,submit_clicked,B,20,TRUE,94
59:02.0,85ffd141ea0e9c961a5725d13afff3b5,quiz_submitted,submit_clicked,A,4,FALSE,11
02:54.2,bf0ca6fd34c493da9274b5f66b2b2875,quiz_submitted,submit_clicked,B,20,TRUE,28
12:07.4,5cd25a425fc86a336d62e758d6619133,quiz_submitted,submit_clicked,B,20,TRUE,28
20:02.7,d1228e168437c03553e3d16cf647e5a0,quiz_submitted,submit_clicked,B,20,TRUE,126
29:16.9,204f291bca253d07a1b205722bb99ce2,quiz_submitted,submit_clicked,A,20,TRUE,98
43:32.0,586b69e5a9386531d8c689ce58f46bf4,quiz_submitted,submit_clicked,A,20,TRUE,54
47:58.9,5378496c4f114cb7567f0c1386d9864b,quiz_submitted,submit_clicked,B,20,TRUE,143
48:41.8,20a0139de0c134493cfe0b5bbce12406,quiz_submitted,submit_clicked,A,20,TRUE,24
00:43.2,4dd476a289d799f375f4e1bddeaf1a7d,quiz_submitted,submit_clicked,A,20,TRUE,102
27:00.0,dd91d864e3df99beeecfc1af70cc7c20,quiz_submitted,submit_clicked,A,20,TRUE,29
43:48.0,ae0497373bf8d055c2260ce841a40640,quiz_submitted,submit_clicked,A,20,TRUE,56
04:09.7,f2e8dc9fb64f9f96809b108d729934dd,quiz_submitted,submit_clicked,A,20,TRUE,67
20:09.8,ab61c43b29471d45718da84ecef96916,quiz_submitted,submit_clicked,A,20,TRUE,42
21:50.3,ce9e81921e15753300d72b9ee7f7e2dd,quiz_submitted,submit_clicked,B,10,FALSE,14
21:58.9,8fff9c3f6e6c56ef6424721124c1e929,quiz_submitted,submit_clicked,A,1,FALSE,4
33:38.9,d8521e26d8377ecd47384c5a142704ac,quiz_submitted,submit_clicked,A,20,TRUE,50
07:51.8,4ef56c5158231b0ed6dc21b8fb7b2a4a,quiz_submitted,submit_clicked,A,20,TRUE,65
01:59.3,def73847d8205235be0ec5d2c4135efb,quiz_submitted,submit_clicked,A,20,TRUE,61
02:05.8,def73847d8205235be0ec5d2c4135efb,quiz_submitted,submit_clicked,A,20,TRUE,67
02:19.5,def73847d8205235be0ec5d2c4135efb,quiz_submitted,submit_clicked,A,20,TRUE,81
04:57.3,5f620d5ac850e3cfa795b773d841d867,quiz_submitted,submit_clicked,B,20,TRUE,98
37:01.2,bf1b901e4ab8a8944d4b80427498c7d8,quiz_submitted,submit_clicked,A,4,FALSE,10
38:06.4,f77724e1fab3edb889c29f7287544449,quiz_submitted,submit_clicked,A,20,TRUE,58
38:36.5,21eb312ba8562e8e09148918bbce55fc,quiz_submitted,submit_clicked,B,20,TRUE,20
39:31.3,1f93bc8b5f7b41f9ad988b29f1ce1b86,quiz_submitted,submit_clicked,A,3,FALSE,49
40:36.8,585199197a8bf03ea846a220717eacf5,quiz_submitted,submit_clicked,B,20,TRUE,58
41:27.3,ef380cbd78e8ad3c5b9defc20a8dfa65,quiz_submitted,submit_clicked,A,20,TRUE,72
12:32.0,1ec5c386e32e56f6897602f08992ed9f,quiz_submitted,submit_clicked,A,0,FALSE,0
13:53.2,4cc8174b294ee4994cd48f794823aa12,quiz_submitted,submit_clicked,B,0,FALSE,0
15:33.2,4cc8174b294ee4994cd48f794823aa12,quiz_submitted,submit_clicked,B,20,TRUE,100
17:22.9,3c519a6ccaad82c4d237c29653937359,quiz_submitted,submit_clicked,A,20,TRUE,141
17:25.3,5ce91966612e68302c6b42337b8e30f2,quiz_submitted,submit_clicked,B,20,TRUE,143
17:31.6,5ce91966612e68302c6b42337b8e30f2,quiz_submitted,submit_clicked,B,20,TRUE,150
17:36.5,5ce91966612e68302c6b42337b8e30f2,quiz_submitted,submit_clicked,B,20,TRUE,155
19:29.6,b94e2cc42a11ddda7a50e61c800d21f3,quiz_submitted,submit_clicked,A,20,TRUE,37
19:34.3,b94e2cc42a11ddda7a50e61c800d21f3,quiz_submitted,submit_clicked,A,20,TRUE,42
19:44.4,b94e2cc42a11ddda7a50e61c800d21f3,quiz_submitted,submit_clicked,A,20,TRUE,52
20:47.2,92ef86e48af82fccf40e4f37b931e04b,quiz_submitted,submit_clicked,B,19,FALSE,50
20:52.1,92ef86e48af82fccf40e4f37b931e04b,quiz_submitted,submit_clicked,B,19,FALSE,55
20:57.6,92ef86e48af82fccf40e4f37b931e04b,quiz_submitted,submit_clicked,B,19,FALSE,60
21:01.1,5e2fc4c67d5639836c58bbc40f6ea5fd,quiz_submitted,submit_clicked,A,20,TRUE,288
21:02.4,92ef86e48af82fccf40e4f37b931e04b,quiz_submitted,submit_clicked,B,19,FALSE,65
21:11.1,5e2fc4c67d5639836c58bbc40f6ea5fd,quiz_submitted,submit_clicked,A,20,TRUE,298
21:25.5,92ef86e48af82fccf40e4f37b931e04b,quiz_submitted,submit_clicked,B,19,FALSE,88
22:14.9,c00b593f6d10d18f43de1563b0351010,quiz_submitted,submit_clicked,B,20,TRUE,64
22:57.0,4af89cb9fd135846c8aa47cacdb1c97b,quiz_submitted,submit_clicked,A,19,FALSE,30
23:12.2,2fdf13c30a2f8e123ac527bb778d725d,quiz_submitted,submit_clicked,B,0,FALSE,0
24:01.9,19660ddf0b067a2b07ec8598f026eccc,quiz_submitted,submit_clicked,A,0,FALSE,0
24:42.3,f2b50ed56ffbd8204543c91f638b8dfe,quiz_submitted,submit_clicked,B,0,FALSE,0
24:55.2,19660ddf0b067a2b07ec8598f026eccc,quiz_submitted,submit_clicked,A,20,TRUE,54
25:04.2,19660ddf0b067a2b07ec8598f026eccc,quiz_submitted,submit_clicked,A,20,TRUE,63
25:12.1,f2b50ed56ffbd8204543c91f638b8dfe,quiz_submitted,submit_clicked,B,20,TRUE,30
25:16.6,200a49af762b91af78b777cc123aaac9,quiz_submitted,submit_clicked,B,0,FALSE,0
25:18.1,25f1bd767733017761228fa5b8e1f15d,quiz_submitted,submit_clicked,B,0,FALSE,11
25:30.1,ee5c33969327dbf769daa355c12fbbc1,quiz_submitted,submit_clicked,A,0,FALSE,0
25:38.8,e2638712afb01422369b0d78b53a1eba,quiz_submitted,submit_clicked,B,0,FALSE,0
25:47.7,ee5c33969327dbf769daa355c12fbbc1,quiz_submitted,submit_clicked,A,20,TRUE,18
25:51.6,ee5c33969327dbf769daa355c12fbbc1,quiz_submitted,submit_clicked,A,20,TRUE,22
25:53.3,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,39
26:04.2,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,50
26:04.5,200a49af762b91af78b777cc123aaac9,quiz_submitted,submit_clicked,B,20,TRUE,48
26:07.6,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,53
26:10.2,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,56
26:11.2,60c839b732de189a0eba40a20b99f95f,quiz_submitted,submit_clicked,B,0,FALSE,0
26:13.7,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,59
26:19.7,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,65
26:22.2,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,68
26:24.7,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,70
26:27.2,71bea30c895e7cf9ff39ed7c42a85058,quiz_submitted,submit_clicked,A,20,TRUE,73
26:29.1,3613ada5e250348882766708d82b6411,quiz_submitted,submit_clicked,A,0,FALSE,1
26:40.7,261fd7566914ef5900195c88308edb56,quiz_submitted,submit_clicked,B,0,FALSE,0
27:02.2,33fef04086701441e26a748cbbd14fa7,quiz_submitted,submit_clicked,A,1,FALSE,13
27:38.1,671798d5dce0f008ed5a3796699a5572,quiz_submitted,submit_clicked,A,13,FALSE,24
28:20.1,e2dae3b1bcb85e9fd338516cf681a09e,quiz_submitted,submit_clicked,B,0,FALSE,0
30:17.0,a2a223ba89b76d10f298bb2e591c8813,quiz_submitted,submit_clicked,A,20,TRUE,152
30:36.9,a2a223ba89b76d10f298bb2e591c8813,quiz_submitted,submit_clicked,A,20,TRUE,172
30:37.6,e2dae3b1bcb85e9fd338516cf681a09e,quiz_submitted,submit_clicked,B,20,TRUE,138
30:38.0,a2a223ba89b76d10f298bb2e591c8813,quiz_submitted,submit_clicked,A,20,TRUE,173
30:47.2,bbbfce2b96f63a41f4b3ef25a2cf23b1,quiz_submitted,submit_clicked,A,1,FALSE,7
30:54.1,52dbb4b28d8f0c5a205cc79835b4f908,quiz_submitted,submit_clicked,B,19,FALSE,392
30:54.6,bbbfce2b96f63a41f4b3ef25a2cf23b1,quiz_submitted,submit_clicked,A,1,FALSE,14
31:37.6,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,0,FALSE,0
31:40.0,03b520d2455817e8a5fa6ca93c27550d,quiz_submitted,submit_clicked,B,20,TRUE,31
31:44.0,184ee5d5105be9291594ca402f308a96,quiz_submitted,submit_clicked,A,1,FALSE,13
32:08.8,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,32
32:17.1,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,40
32:22.8,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,46
32:24.8,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,48
32:32.1,d6e98fa8acdc20ca2508a25a79bed0fe,quiz_submitted,submit_clicked,A,20,TRUE,69
32:40.2,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,63
32:41.1,d6e98fa8acdc20ca2508a25a79bed0fe,quiz_submitted,submit_clicked,A,20,TRUE,78
32:59.7,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,82
33:01.2,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,84
33:03.4,c6f58e1477735db4ec43bebf2f5dfcbf,quiz_submitted,submit_clicked,A,19,FALSE,86
33:11.0,4aa4bed4c0ea9f3cac5b6872f1e29e93,quiz_submitted,submit_clicked,A,0,FALSE,0
33:12.9,52bbd8d510d3826ce8a6c59f13110b0e,quiz_submitted,submit_clicked,B,0,FALSE,1
33:13.2,52bbd8d510d3826ce8a6c59f13110b0e,quiz_submitted,submit_clicked,B,0,FALSE,1
33:14.3,52bbd8d510d3826ce8a6c59f13110b0e,quiz_submitted,submit_clicked,B,0,FALSE,2
33:24.8,371df5febf06202af6435fb0d61e976d,quiz_submitted,submit_clicked,B,0,FALSE,1
33:25.6,371df5febf06202af6435fb0d61e976d,quiz_submitted,submit_clicked,B,0,FALSE,1
33:33.1,3eaa103a2a8607eb034a8467dc49bf96,quiz_submitted,submit_clicked,B,20,TRUE,96
34:01.2,a9ca75be25659a568e1af849d14b1683,quiz_submitted,submit_clicked,B,0,FALSE,1
34:20.3,3bdbcc1494c4b0527683f9b460bde0ee,quiz_submitted,submit_clicked,A,20,TRUE,17
34:25.9,64f889fab2e14891263d1c3a98985cf2,quiz_submitted,submit_clicked,B,0,FALSE,1
34:29.0,19ea44a5a86419425613f1e3c9732fcb,quiz_submitted,submit_clicked,B,0,FALSE,1
34:31.3,3bdbcc1494c4b0527683f9b460bde0ee,quiz_submitted,submit_clicked,A,20,TRUE,29
34:35.7,a0b4a89708aae14fc64d22564465c547,quiz_submitted,submit_clicked,B,20,TRUE,77
34:38.6,fe7567dc3fd785b88185b3ec8a76d2e8,quiz_submitted,submit_clicked,B,0,FALSE,1
34:42.9,a0b4a89708aae14fc64d22564465c547,quiz_submitted,submit_clicked,B,20,TRUE,84
34:54.3,8f7c2d2c93e08a590764a8f01d40065a,quiz_submitted,submit_clicked,A,0,FALSE,1
35:11.6,19ea44a5a86419425613f1e3c9732fcb,quiz_submitted,submit_clicked,B,20,TRUE,43
36:46.4,84543e8ac5040a1688d1a940fac66e35,quiz_submitted,submit_clicked,B,20,TRUE,213
38:27.0,5073959c2342aefb5067bf4c92c5a9d4,quiz_submitted,submit_clicked,A,0,FALSE,0
39:10.8,e523a1c1fd108cdffcefb2fefbe49505,quiz_submitted,submit_clicked,A,20,TRUE,246
39:25.9,e523a1c1fd108cdffcefb2fefbe49505,quiz_submitted,submit_clicked,A,20,TRUE,261
39:33.8,2964244117cb6e3e1b1bff91cadb2025,quiz_submitted,submit_clicked,B,18,FALSE,144
39:41.2,64f889fab2e14891263d1c3a98985cf2,quiz_submitted,submit_clicked,B,20,TRUE,316
39:46.4,12c7d23287b2214d1e23c8df6856be06,quiz_submitted,submit_clicked,B,20,TRUE,68
39:50.1,2964244117cb6e3e1b1bff91cadb2025,quiz_submitted,submit_clicked,B,19,FALSE,160
